Date,Open,Close,Diff,ShortMA,LongMA,Trend,Unusual
2015-11-03,2102.63,2109.79,0.341,1986.98,2036.93,0,0.0
2015-11-04,2110.6,2102.31,-0.393,1991.67,2037.11,0,0.0
2015-11-05,2101.68,2099.93,-0.083,1994.86,2037.15,0,0.0
2015-11-06,2098.6,2099.2,0.029,1997.09,2037.13,0,0.0
2015-11-09,2096.56,2078.58,-0.858,1998.89,2036.71,0,0.0
2015-11-10,2077.19,2081.72,0.218,2001.08,2036.42,0,0.0
2015-11-11,2083.41,2075.0,-0.404,2004.3,2035.95,0,0.0
2015-11-12,2072.29,2045.97,-1.27,2006.24,2035.16,0,0.0
2015-11-13,2044.64,2023.04,-1.056,2007.68,2034.31,0,0.0
2015-11-16,2022.08,2053.19,1.539,2010.32,2033.82,0,0.0
2015-11-17,2053.67,2050.44,-0.157,2011.94,2033.31,0,0.0
2015-11-18,2051.99,2083.58,1.539,2014.77,2033.57,0,0.0
2015-11-19,2083.7,2081.24,-0.118,2017.35,2033.75,0,0.0
2015-11-20,2082.82,2089.17,0.305,2019.91,2033.86,0,0.0
2015-11-23,2089.41,2086.59,-0.135,2022.58,2033.96,0,0.0
2015-11-24,2084.42,2089.14,0.226,2024.81,2034.17,0,0.0
2015-11-25,2089.3,2088.87,-0.021,2026.68,2034.24,0,0.0
2015-11-27,2088.82,2090.11,0.062,2028.68,2034.68,0,0.0
2015-11-30,2090.95,2080.41,-0.504,2031.12,2034.97,0,0.0
2015-12-01,2082.93,2102.63,0.946,2033.84,2035.23,0,1.0
2015-12-02,2101.71,2079.51,-1.056,2036.57,2035.03,1,0.0
2015-12-03,2080.71,2049.62,-1.494,2038.79,2034.43,1,0.0
2015-12-04,2051.24,2091.69,1.972,2041.98,2034.28,1,0.0
2015-12-07,2090.42,2077.07,-0.639,2044.89,2033.8,1,0.0
2015-12-08,2073.39,2063.59,-0.473,2048.53,2033.17,1,0.0
2015-12-09,2061.17,2047.62,-0.657,2051.8,2032.37,0,0.0
2015-12-10,2047.93,2052.23,0.21,2054.44,2031.7,0,0.0
2015-12-11,2047.27,2012.37,-1.705,2056.21,2030.68,0,0.0
2015-12-14,2013.37,2021.94,0.426,2057.63,2029.88,0,0.0
2015-12-15,2025.55,2043.41,0.882,2058.75,2029.51,0,0.0
2015-12-16,2046.5,2073.07,1.298,2060.62,2029.57,1,0.0
2015-12-17,2073.76,2041.89,-1.537,2061.54,2029.06,0,0.0
2015-12-18,2040.81,2005.55,-1.728,2061.38,2028.03,0,0.0
2015-12-21,2010.27,2021.15,0.541,2061.5,2027.15,0,0.0
2015-12-22,2023.15,2038.97,0.782,2061.94,2026.5,0,0.0
2015-12-23,2042.2,2064.29,1.082,2063.15,2026.16,1,0.0
2015-12-24,2063.52,2060.99,-0.123,2064.48,2025.84,0,0.0
2015-12-28,2057.77,2056.5,-0.062,2065.13,2025.41,0,0.0
2015-12-29,2060.54,2078.36,0.865,2066.04,2025.36,1,0.0
2015-12-30,2077.34,2063.36,-0.673,2066.63,2025.21,0,0.0
2015-12-31,2060.59,2043.94,-0.808,2066.9,2024.61,0,0.0
2016-01-04,2038.2,2012.66,-1.253,2066.77,2023.9,0,0.0
2016-01-05,2013.78,2016.71,0.145,2066.06,2023.2,0,0.0
2016-01-06,2011.71,1990.26,-1.066,2064.36,2022.27,0,0.0
2016-01-07,1985.32,1943.09,-2.127,2061.8,2020.79,0,0.0
2016-01-08,1945.97,1922.03,-1.23,2058.92,2018.98,0,0.0
2016-01-11,1926.12,1923.67,-0.127,2055.59,2017.25,0,0.0
